content,emoji,comment,current,time,comments_size
['Cho e hỏi e đc 5.5 hba 5 kì là 26.69 thì cs đậu ngành kinh tế k ạ'],"['Tất cả, 3', 'Thích, 2', 'Yêu thích, 1']",[],906,"Thứ Ba, 12 Tháng 3, 2024 lúc 10:02"
"['Dạ em cần tìm giáo trình LSĐ, có anh/chị nào còn giữ không ạ?\nE xin cảm ơn.']",[],[],1173,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59"
['Mn cho em xin lin để lấy điểm rèn luyện trên trường -} xét học bổng ạ'],"['Tất cả, 2', 'Thích, 1', 'Yêu thích, 1']",['https://docs.google.com/.../12Dz85ylJY1ql3gcH.../viewform...'],1693,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59",1
"['Sáng nay lúc đi học em có đánh rơi 1 chiếc đồng hồ nam màu xanh dương, ai nhặt được hoặc thấy thì cmt em liên hệ ạ, em xin cám ơn và hậu tạ.']",[],[],1870,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59"
"['Sáng nay em có làm rơi 1 chiếc đồng hồ nam màu xanh dương từ bãi xe ktx đến khu D ạ, ai nhặt được cmt em sẽ liên hệ ạ. E xin cám ơn và hậu tạ']",[],[],2112,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59"
['A/c có pass sách tiếng anh Life A1-A2 chưa cào mã inb em với ạ'],[],[],2353,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59"
['Mình có các tài liệu cần pass:\n - Qth của Lê Thế Giới \n - Giáo trình vĩ mô\n - Giáo trình vi mô + bài tập\n - Slide toán ứng dụng'],[],[],2593,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:59"
['Ai làm rơi ở D001 nè'],[],[],2875,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:58"
['Ngành thương mại điện tử xét bằng điểm đgnl thì bao nhiêu điểm vậy mọi người mong ad duyệt'],"['Thích, 1']",[],3742,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:58"
"['PASS\nsách new 90%\nquyển storytelling with data và quyển thực hành data storytelling \n- mua lẻ: storytelling with data: 160k, quyển thực hành: 220k  \n- combo 2 quyển: 360k']",[],[],4304,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:58"
['Kỳ sau em học luật hình sự 1 với luật dân sự 1. Em nên mua loại sách như thế nào ạ cho em xin ảnh để sắp xếp mua ngay. Em cảm ơn rất nhiềuuu'],[],[],5085,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:58"
"['Xin chào các bạn/anh/chị, em là 48K và em muốn được xin vài lời khuyên từ các bạn/anh/chị. Em cảm thấy ngành học hiện tại không phù hợp với em lắm nhưng em vẫn không muốn bỏ.  Em đang có ý định gap year để tự nhìn lại bản thân, biết được điểm mạnh và điểm yếu của mình là gì để từ đó lựa chọn được hướng đi phù hợp. Nhưng em vẫn mơ hồ không biết làm gì trong  khoảng thời gian dài đó. Ai có kinh nghiệm hoặc lời khuyên gì thì cho em biết với nhé! Em cảm ơn nhiều nhé']","['Thích, 4']",[],5326,"Thứ Ba, 12 Tháng 3, 2024 lúc 18:58"
['e cần tìm tl như hình ạ'],"['Thích, 1']",[],5697,"Thứ Ba, 12 Tháng 3, 2024 lúc 10:02"
"['Chào anh chị, cho em hỏi đối với chuyên ngành kinh tế mình thì môn nào khó nhất ạ?']","['Tất cả, 3', 'Thích, 2', 'Yêu thích, 1']",[],6689,"Thứ Ba, 12 Tháng 3, 2024 lúc 10:02"
['Ai còn giáo trình cnxh k ạ'],[],[],6940,"Thứ Ba, 12 Tháng 3, 2024 lúc 08:34"
['Mn ơi bao giờ sẽ hết hạn nộp toeic pass tiếng anh ạ . Bây giờ em thi có còn kịp không ạ . Em cảm ơn mn ạ '],"['Thích, 1']",['...'],7460,"Thứ Ba, 12 Tháng 3, 2024 lúc 08:34",1
['Cho em xin rv vài chỗ học TOEIC trước trường mình với ạ'],"['Tất cả, 16', 'Thích, 13', 'Yêu thích, 3']","['Em tham khảo The English Lab, đối tác kim cương xuất sắc khu vực miền Trung của IDP. Ở đây toàn giáo viên 8.0 8.5 đã đào tạo hàng nghìn bạn học viên 6.0-8.0 em nhé, học phí cũng vừa phải nữa, em xem thử nha\nBên này có cả Toeic và Tiếng Anh Giao Tiếp nữa e nhaaa', 'Mình có nhóm cơ bản tháng 3 và nhóm giải đề, bạn quan tâm ib mình nhé', 'Lớp Online - Offline -', 'Cạnh ĐẠI HỌC KINH TẾ', 'C có 965/990 Toeic.', 'Sắp tới c khai giảng lớp Toeic Cơ bản + Luyện thi -', 'Online qua Zoom hoặc offline - Lớp offline khoảng 10 bạn - 15 bạn', 'Cam kết đầu ra. Học lại miễn phí nếu không đạt. -', 'Lộ trình học chi tiết và tài liệu nhắn chị gửi em tham khảo nhé!', 'Toeic bên Ebest đường 30/4 á em nè, học với giáo viên Toeic 900 trở lên thôi, mà cho luyện đề trước thi nhiều nữa. Highly rcm nha', '10', 'học phí tầm bao nhiêu v ạ', 'Mỹ Duyên Cho em hỏi học phí ntn v ạ ?', 'Thảo Vy tầm 700k tháng á e, cũng dễ chịu nè', 'C có mở nhóm kèm Toeic 8-10 bạn/ nhóm, e có nhu cầu ib c nhé', 'Năng lực Tiếng anh của mình hiện tại đang ở mức nào rồi em ha? Mình đã có nền tảng để vào lớp ôn luyện Toeic hay chưa?', 'Trước trường mình thì có Ms Hoa nè, học oke á, gv cũng nhiệt tình nữa', 'Trung tâm Anh Ngữ Ms Hoa 226 ngũ hành sớn gần trường kinh tết luôn', 'Em có thể tham khảo bên Trung tâm Ielst Mentor - Đà Nẵng ( 128 Lý Tự trọng ) , bên c cam kết đầu ra và lộ trình rõ ràng cho mình nha, hỗ trợ các bạn test đầu vào và được học thử 2 buổi học miễn phí nè', 'Em tham khảo ENET ENGLISH ngay 87 Chương Dương luôn nhé, lớp TOEIC cam kết đầu ra, giáo viên kinh nghiệm nhiệt tình, lớp học vui vẻ dễ tiếp thu nè ^^', 'ANH NGỮ CÔ MAI nhé ,giáo viên nhiệt tình ,tận tâm ,chất lượng oke ,cam kết đầu ra cho mình nhé,học phí đang đươc ưu đãi cực kì rẻ cho sinh viên .Ngoài ra em có thể tham gia các gameshow ,buổi ngoại khoá tiếng anh,được giao tiếp với người bản xứ .Em ib chị hổ trợ kỹ cho em nhé', 'Em học Kinh Tế thì mình có thể tham khảo ENET nha, trung tâm nằm ở 87 Chương Dương nè. Mình có thể ib cho chị hoặc đến trực tiếp trung tâm để được tư vấn thêm về lộ trình học nhé', 'Gần trường mình có Ebest ở đường 30/4 á em. Học ok lắm nha e có thể tham khảo nè', '5']",7790,"Thứ Ba, 12 Tháng 3, 2024 lúc 08:34",24
['Mình đang cần tài liệu của 2 môn này ai còn không ạ'],[],[],8333,"Thứ Ba, 12 Tháng 3, 2024 lúc 00:05"
['Ac cho e hỏi vs ạ\nBây giờ e muốn huỷ hp mà e đã đki thì sẽ mất 1/2 học phí của hp đó hay mất nguyên luôn ạ?'],[],[],8967,"Thứ Ba, 12 Tháng 3, 2024 lúc 00:05"
['Cần mua slide luật kinh doanh gấp ạ'],[],[],9487,"Thứ Ba, 12 Tháng 3, 2024 lúc 00:05"
